Vernier Format 2
blank_mit_gewicht.cmbl 18.03.2025 18:34:14 .
Aktuell
Zeit	Potenzial
t	Pot
s	cm

0	0.108486573825
0.005	0.0592444410249
0.01	0.108486573825
0.015	0.0592444410249
0.02	0.0592444410249
0.025	0.0592444410249
0.03	0.0592444410249
0.035	0.0592444410249
0.04	0.206970839424
0.045	0.157728706625
0.05	0.0592444410249
0.055	0.108486573825
0.06	0.206970839424
0.065	0.206970839424
0.07	0.108486573825
0.075	0.157728706625
0.08	0.157728706625
0.085	0.157728706625
0.09	0.0592444410249
0.095	0.0592444410249
0.1	0.206970839424
0.105	0.206970839424
0.11	0.0592444410249
0.115	0.0592444410249
0.12	0.108486573825
0.125	0.108486573825
0.13	0.0592444410249
0.135	0.108486573825
0.14	0.256212972224
0.145	0.256212972224
0.15	0.108486573825
0.155	0.157728706625
0.16	0.256212972224
0.165	0.256212972224
0.17	0.157728706625
0.175	0.108486573825
0.18	0.108486573825
0.185	0.108486573825
0.19	0.0592444410249
0.195	0.0592444410249
0.2	0.108486573825
0.205	0.108486573825
0.21	0.157728706625
0.215	0.157728706625
0.22	0.157728706625
0.225	0.157728706625
0.23	0.157728706625
0.235	0.108486573825
0.24	0.108486573825
0.245	0.157728706625
0.25	0.206970839424
0.255	0.206970839424
0.26	0.157728706625
0.265	0.206970839424
0.27	0.108486573825
0.275	0.157728706625
0.28	0.108486573825
0.285	0.157728706625
0.29	0.157728706625
0.295	0.108486573825
0.3	-0.0392398245749
0.305	0.010002308225
0.31	0.0592444410249
0.315	0.0592444410249
0.32	-0.0392398245749
0.325	-0.0392398245749
0.33	0.108486573825
0.335	0.0592444410249
0.34	0.0592444410249
0.345	0.0592444410249
0.35	-0.0392398245749
0.355	-0.0392398245749
0.36	-0.0392398245749
0.365	-0.0392398245749
0.37	0.0592444410249
0.375	0.0592444410249
0.38	0.0592444410249
0.385	0.0592444410249
0.39	0.0592444410249
0.395	0.0592444410249
0.4	0.0592444410249
0.405	0.0592444410249
0.41	0.0592444410249
0.415	0.0592444410249
0.42	-0.0392398245749
0.425	-0.0392398245749
0.43	0.0592444410249
0.435	0.0592444410249
0.44	0.0592444410249
0.445	0.0592444410249
0.45	0.010002308225
0.455	-0.0392398245749
0.46	0.0592444410249
0.465	0.108486573825
0.47	-0.0392398245749
0.475	-0.0392398245749
0.48	-0.0392398245749
0.485	-0.0392398245749
0.49	0.0592444410249
0.495	0.0592444410249
0.5	0.010002308225
0.505	-0.0392398245749
0.51	-0.0392398245749
0.515	-0.0884819573748
0.52	-0.0392398245749
0.525	0.010002308225
0.53	-0.0392398245749
0.535	-0.0392398245749
0.54	-0.0884819573748
0.545	-0.137724090175
0.55	0.0592444410249
0.555	0.0592444410249
0.56	-0.0392398245749
0.565	-0.0392398245749
0.57	0.0592444410249
0.575	0.0592444410249
0.58	0.0592444410249
0.585	0.0592444410249
0.59	0.0592444410249
0.595	0.0592444410249
0.6	0.108486573825
0.605	0.108486573825
0.61	0.0592444410249
0.615	0.0592444410249
0.62	0.0592444410249
0.625	0.0592444410249
0.63	-0.0392398245749
0.635	-0.0392398245749
0.64	0.0592444410249
0.645	0.0592444410249
0.65	0.0592444410249
0.655	0.0592444410249
0.66	0.0592444410249
0.665	0.0592444410249
0.67	0.0592444410249
0.675	0.0592444410249
0.68	-0.0392398245749
0.685	-0.0392398245749
0.69	-0.0392398245749
0.695	-0.0392398245749
0.7	-0.0392398245749
0.705	-0.0392398245749
0.71	-0.0392398245749
0.715	-0.0392398245749
0.72	0.010002308225
0.725	0.0592444410249
0.73	0.0592444410249
0.735	0.0592444410249
0.74	-0.0392398245749
0.745	-0.0392398245749
0.75	-0.0392398245749
0.755	-0.0884819573748
0.76	0.0592444410249
0.765	0.0592444410249
0.77	0.0592444410249
0.775	0.0592444410249
0.78	0.0592444410249
0.785	0.0592444410249
0.79	0.0592444410249
0.795	0.0592444410249
0.8	-0.0884819573748
0.805	-0.0392398245749
0.81	-0.0392398245749
0.815	0.010002308225
0.82	0.0592444410249
0.825	0.0592444410249
0.83	-0.0392398245749
0.835	-0.0392398245749
0.84	-0.0392398245749
0.845	-0.0392398245749
0.85	-0.186966222975
0.855	-0.186966222975
0.86	-0.0884819573748
0.865	-0.0392398245749
0.87	-0.137724090175
0.875	-0.137724090175
0.88	-0.137724090175
0.885	-0.137724090175
0.89	-0.137724090175
0.895	-0.0884819573748
0.9	-0.186966222975
0.905	-0.186966222975
0.91	-0.282372855274
0.915	-0.282372855274
0.92	-0.137724090175
0.925	-0.0884819573748
0.93	-0.186966222975
0.935	-0.186966222975
0.94	-0.186966222975
0.945	-0.186966222975
0.95	-0.137724090175
0.955	-0.137724090175
0.96	-0.186966222975
0.965	-0.186966222975
0.97	-0.236208355774
0.975	-0.282372855274
0.98	-0.0884819573748
0.985	-0.0884819573748
0.99	-0.137724090175
0.995	-0.137724090175
1	-0.0884819573748
1.005	-0.137724090175
1.01	-0.186966222975
1.015	-0.186966222975
1.02	-0.186966222975
1.025	-0.186966222975
1.03	-0.186966222975
1.035	-0.236208355774
1.04	-0.186966222975
1.045	-0.186966222975
1.05	-0.380857120874
1.055	-0.331614988074
1.06	-0.282372855274
1.065	-0.282372855274
1.07	-0.282372855274
1.075	-0.236208355774
1.08	-0.186966222975
1.085	-0.186966222975
1.09	-0.282372855274
1.095	-0.282372855274
1.1	-0.282372855274
1.105	-0.282372855274
1.11	-0.0884819573748
1.115	-0.137724090175
1.12	-0.0392398245749
1.125	0.010002308225
1.13	-0.0392398245749
1.135	0.010002308225
1.14	0.0592444410249
1.145	0.0592444410249
1.15	0.157728706625
1.155	0.157728706625
1.16	0.157728706625
1.165	0.157728706625
1.17	0.305455105024
1.175	0.305455105024
1.18	0.354697237824
1.185	0.400861737324
1.19	0.499346002924
1.195	0.499346002924
1.2	0.647072401323
1.205	0.696314534123
