Vernier Format 2
blank_mit_gewicht.cmbl 18.03.2025 18:19:34 .
Aktuell
Zeit	Potenzial
t	Pot
s	cm

0	-0.331614988074
0.005	-0.430099253674
0.01	-0.430099253674
0.015	-0.282372855274
0.02	-0.282372855274
0.025	-0.282372855274
0.03	-0.282372855274
0.035	-0.331614988074
0.04	-0.380857120874
0.045	-0.331614988074
0.05	-0.331614988074
0.055	-0.236208355774
0.06	-0.236208355774
0.065	-0.430099253674
0.07	-0.430099253674
0.075	-0.282372855274
0.08	-0.282372855274
0.085	-0.282372855274
0.09	-0.282372855274
0.095	-0.282372855274
0.1	-0.282372855274
0.105	-0.236208355774
0.11	-0.282372855274
0.115	-0.282372855274
0.12	-0.282372855274
0.125	-0.236208355774
0.13	-0.282372855274
0.135	-0.380857120874
0.14	-0.331614988074
0.145	-0.380857120874
0.15	-0.380857120874
0.155	-0.479341386474
0.16	-0.479341386474
0.165	-0.479341386474
0.17	-0.479341386474
0.175	-0.479341386474
0.18	-0.479341386474
0.185	-0.479341386474
0.19	-0.479341386474
0.195	-0.479341386474
0.2	-0.479341386474
0.205	-0.479341386474
0.21	-0.479341386474
0.215	-0.479341386474
0.22	-0.479341386474
0.225	-0.380857120874
0.23	-0.331614988074
0.235	-0.479341386474
0.24	-0.479341386474
0.245	-0.282372855274
0.25	-0.282372855274
0.255	-0.282372855274
0.26	-0.282372855274
0.265	-0.331614988074
0.27	-0.331614988074
0.275	-0.331614988074
0.28	-0.331614988074
0.285	-0.331614988074
0.29	-0.331614988074
0.295	-0.236208355774
0.3	-0.282372855274
0.305	-0.282372855274
0.31	-0.282372855274
0.315	-0.282372855274
0.32	-0.282372855274
0.325	-0.282372855274
0.33	-0.236208355774
0.335	-0.282372855274
0.34	-0.282372855274
0.345	-0.236208355774
0.35	-0.282372855274
0.355	-0.282372855274
0.36	-0.282372855274
0.365	-0.282372855274
0.37	-0.282372855274
0.375	-0.331614988074
0.38	-0.331614988074
0.385	-0.282372855274
0.39	-0.282372855274
0.395	-0.282372855274
0.4	-0.282372855274
0.405	-0.331614988074
0.41	-0.331614988074
0.415	-0.380857120874
0.42	-0.380857120874
0.425	-0.380857120874
0.43	-0.380857120874
0.435	-0.331614988074
0.44	-0.331614988074
0.445	-0.331614988074
0.45	-0.380857120874
0.455	-0.282372855274
0.46	-0.282372855274
0.465	-0.331614988074
0.47	-0.331614988074
0.475	-0.282372855274
0.48	-0.282372855274
0.485	-0.331614988074
0.49	-0.380857120874
0.495	-0.282372855274
0.5	-0.282372855274
0.505	-0.282372855274
0.51	-0.236208355774
0.515	-0.331614988074
0.52	-0.331614988074
0.525	-0.0884819573748
0.53	-0.0884819573748
0.535	-0.236208355774
0.54	-0.282372855274
0.545	-0.282372855274
0.55	-0.282372855274
0.555	-0.282372855274
0.56	-0.282372855274
0.565	-0.282372855274
0.57	-0.282372855274
0.575	-0.282372855274
0.58	-0.282372855274
0.585	-0.282372855274
0.59	-0.282372855274
0.595	-0.282372855274
0.6	-0.282372855274
0.605	-0.282372855274
0.61	-0.282372855274
0.615	-0.331614988074
0.62	-0.331614988074
0.625	-0.331614988074
0.63	-0.331614988074
0.635	-0.282372855274
0.64	-0.282372855274
0.645	-0.282372855274
0.65	-0.282372855274
0.655	-0.186966222975
0.66	-0.186966222975
0.665	-0.282372855274
0.67	-0.282372855274
0.675	-0.236208355774
0.68	-0.186966222975
0.685	-0.282372855274
0.69	-0.282372855274
0.695	-0.282372855274
0.7	-0.282372855274
0.705	-0.282372855274
0.71	-0.282372855274
0.715	-0.0392398245749
0.72	-0.0392398245749
0.725	0.0592444410249
0.73	0.0592444410249
0.735	0.305455105024
0.74	0.305455105024
0.745	0.400861737324
0.75	0.450103870124
0.755	0.597830268524
0.76	0.647072401323
0.765	0.893283065323
0.77	0.893283065323
0.775	1.23490036162
0.78	1.23490036162
0.785	1.62575979072
0.79	1.57959529122
0.795	1.92121258752
0.8	1.92121258752
0.805	2.21666538432
0.81	2.21666538432
0.815	2.65676694622
0.82	2.65676694622
0.825	3.14611064092
0.83	3.09686850812
0.835	3.48772793722
0.84	3.48772793722
0.845	3.98014926522
0.85	3.93090713242
0.855	4.61721935831
0.86	4.61721935831
0.865	5.05732092021
0.87	5.05732092021
0.875	5.69439101331
0.88	5.69439101331
0.885	6.42994537201
0.89	6.42994537201
0.895	7.11625759791
0.9	7.11625759791
0.905	7.84873432331
0.91	7.89797645611
0.915	8.5350465492
0.92	8.5350465492
0.925	9.3198430407
0.93	9.3198430407
0.935	10.0061552666
0.94	10.0553973994
0.945	10.8401938909
0.95	10.7909517581
0.955	11.8188812803
0.96	11.8188812803
0.965	12.8468108025
0.97	12.7975686697
0.975	13.5331230284
0.98	13.5331230284
0.985	14.4656459183
0.99	14.4164037855
0.995	15.4935754405
1	15.4935754405
1.005	16.5215049627
1.01	16.5215049627
1.015	17.5525121182
1.02	17.5525121182
1.025	18.6296837732
1.03	18.6296837732
1.035	19.8545818266
1.04	19.8545818266
1.045	20.9317534816
1.05	20.9809956144
1.055	22.1074094022
1.06	22.1074094022
1.065	23.3323074556
1.07	23.3815495884
1.075	24.6556897746
1.08	24.6556897746
1.085	25.7821035624
1.09	25.8313456952
1.095	27.0562437486
1.1	27.1054858814
1.105	28.3303839348
1.11	28.3796260676
1.115	29.6537662538
1.12	29.6537662538
1.125	31.2233592367
1.13	31.1741171039
1.135	32.5929060552
1.14	32.5929060552
1.145	34.1132569054
1.15	34.0640147726
1.155	35.6336077556
1.16	35.6336077556
1.165	37.1508809725
1.17	37.1508809725
1.175	38.6219896899
1.18	38.6712318227
1.185	40.1392629068
1.19	40.1392629068
1.195	41.8073401554
1.2	41.8073401554
1.205	43.5708240363
1.21	43.5215819035
1.215	45.137339386
1.22	45.137339386
1.225	46.9008232669
1.23	46.9500653997
1.235	48.5196583827
1.24	48.4704162499
