Vernier Format 2
blank_mit_gewicht.cmbl 18.03.2025 18:18:51 .
Aktuell
Zeit	Potenzial
t	Pot
s	cm

0	-0.0884819573748
0.005	-0.137724090175
0.01	-0.236208355774
0.015	-0.186966222975
0.02	-0.186966222975
0.025	-0.186966222975
0.03	-0.186966222975
0.035	-0.186966222975
0.04	-0.282372855274
0.045	-0.282372855274
0.05	-0.186966222975
0.055	-0.186966222975
0.06	-0.186966222975
0.065	-0.186966222975
0.07	-0.236208355774
0.075	-0.186966222975
0.08	-0.282372855274
0.085	-0.282372855274
0.09	-0.282372855274
0.095	-0.282372855274
0.1	-0.186966222975
0.105	-0.186966222975
0.11	-0.282372855274
0.115	-0.282372855274
0.12	-0.282372855274
0.125	-0.282372855274
0.13	-0.137724090175
0.135	-0.0884819573748
0.14	-0.186966222975
0.145	-0.186966222975
0.15	-0.282372855274
0.155	-0.236208355774
0.16	-0.186966222975
0.165	-0.186966222975
0.17	-0.186966222975
0.175	-0.186966222975
0.18	-0.0884819573748
0.185	-0.137724090175
0.19	-0.282372855274
0.195	-0.282372855274
0.2	-0.282372855274
0.205	-0.282372855274
0.21	-0.137724090175
0.215	-0.137724090175
0.22	0.0592444410249
0.225	0.0592444410249
0.23	-0.0392398245749
0.235	0.010002308225
0.24	-0.0884819573748
0.245	-0.0392398245749
0.25	-0.137724090175
0.255	-0.0884819573748
0.26	-0.0884819573748
0.265	-0.0884819573748
0.27	-0.0392398245749
0.275	-0.0392398245749
0.28	-0.0392398245749
0.285	-0.0392398245749
0.29	-0.137724090175
0.295	-0.137724090175
0.3	-0.137724090175
0.305	-0.137724090175
0.31	-0.0392398245749
0.315	-0.0392398245749
0.32	0.010002308225
0.325	0.010002308225
0.33	-0.0884819573748
0.335	-0.137724090175
0.34	-0.186966222975
0.345	-0.186966222975
0.35	-0.186966222975
0.355	-0.186966222975
0.36	-0.236208355774
0.365	-0.186966222975
0.37	-0.186966222975
0.375	-0.186966222975
0.38	-0.236208355774
0.385	-0.186966222975
0.39	-0.186966222975
0.395	-0.186966222975
0.4	-0.186966222975
0.405	-0.186966222975
0.41	-0.236208355774
0.415	-0.236208355774
0.42	-0.282372855274
0.425	-0.282372855274
0.43	-0.331614988074
0.435	-0.282372855274
0.44	-0.282372855274
0.445	-0.282372855274
0.45	-0.331614988074
0.455	-0.331614988074
0.46	-0.282372855274
0.465	-0.282372855274
0.47	-0.282372855274
0.475	-0.282372855274
0.48	-0.331614988074
0.485	-0.331614988074
0.49	-0.380857120874
0.495	-0.380857120874
0.5	-0.380857120874
0.505	-0.331614988074
0.51	-0.331614988074
0.515	-0.331614988074
0.52	-0.331614988074
0.525	-0.331614988074
0.53	-0.282372855274
0.535	-0.282372855274
0.54	-0.282372855274
0.545	-0.282372855274
0.55	-0.186966222975
0.555	-0.186966222975
0.56	-0.282372855274
0.565	-0.282372855274
0.57	-0.282372855274
0.575	-0.282372855274
0.58	-0.0884819573748
0.585	-0.0884819573748
0.59	-0.186966222975
0.595	-0.186966222975
0.6	-0.236208355774
0.605	-0.236208355774
0.61	-0.186966222975
0.615	-0.186966222975
0.62	-0.282372855274
0.625	-0.282372855274
0.63	-0.380857120874
0.635	-0.380857120874
0.64	-0.282372855274
0.645	-0.282372855274
0.65	-0.331614988074
0.655	-0.282372855274
0.66	-0.282372855274
0.665	-0.282372855274
0.67	-0.282372855274
0.675	-0.236208355774
0.68	-0.282372855274
0.685	-0.282372855274
0.69	-0.282372855274
0.695	-0.282372855274
0.7	-0.282372855274
0.705	-0.282372855274
0.71	-0.282372855274
0.715	-0.282372855274
0.72	-0.282372855274
0.725	-0.282372855274
0.73	-0.331614988074
0.735	-0.331614988074
0.74	-0.331614988074
0.745	-0.331614988074
0.75	-0.282372855274
0.755	-0.236208355774
0.76	-0.282372855274
0.765	-0.282372855274
0.77	-0.186966222975
0.775	-0.186966222975
0.78	-0.186966222975
0.785	-0.186966222975
0.79	-0.282372855274
0.795	-0.236208355774
0.8	-0.282372855274
0.805	-0.282372855274
0.81	-0.380857120874
0.815	-0.331614988074
0.82	-0.282372855274
0.825	-0.282372855274
0.83	-0.282372855274
0.835	-0.282372855274
0.84	-0.331614988074
0.845	-0.380857120874
0.85	-0.331614988074
0.855	-0.331614988074
0.86	-0.380857120874
0.865	-0.331614988074
0.87	-0.282372855274
0.875	-0.282372855274
0.88	-0.380857120874
0.885	-0.331614988074
0.89	-0.282372855274
0.895	-0.282372855274
0.9	-0.282372855274
0.905	-0.236208355774
0.91	-0.282372855274
0.915	-0.282372855274
0.92	-0.282372855274
0.925	-0.282372855274
0.93	-0.282372855274
0.935	-0.236208355774
0.94	-0.0884819573748
0.945	-0.0884819573748
0.95	-0.282372855274
0.955	-0.236208355774
0.96	-0.282372855274
0.965	-0.282372855274
0.97	-0.236208355774
0.975	-0.282372855274
0.98	-0.282372855274
0.985	-0.282372855274
0.99	-0.282372855274
0.995	-0.282372855274
1	-0.282372855274
1.005	-0.282372855274
1.01	-0.282372855274
1.015	-0.282372855274
1.02	-0.282372855274
1.025	-0.282372855274
1.03	-0.282372855274
1.035	-0.282372855274
1.04	-0.380857120874
1.045	-0.331614988074
1.05	-0.282372855274
1.055	-0.282372855274
1.06	-0.331614988074
1.065	-0.331614988074
1.07	-0.282372855274
1.075	-0.282372855274
1.08	-0.282372855274
1.085	-0.282372855274
1.09	-0.282372855274
1.095	-0.282372855274
1.1	-0.331614988074
1.105	-0.331614988074
1.11	-0.282372855274
1.115	-0.282372855274
1.12	-0.236208355774
1.125	-0.282372855274
1.13	-0.282372855274
1.135	-0.282372855274
1.14	-0.282372855274
1.145	-0.282372855274
1.15	-0.331614988074
1.155	-0.331614988074
1.16	-0.282372855274
1.165	-0.282372855274
1.17	-0.282372855274
1.175	-0.282372855274
1.18	-0.282372855274
1.185	-0.282372855274
1.19	-0.282372855274
