Vernier Format 2
blank_mit_gewicht.cmbl 18.03.2025 18:33:50 .
Aktuell
Zeit	Potenzial
t	Pot
s	cm

0	0.010002308225
0.005	-0.0392398245749
0.01	-0.0392398245749
0.015	-0.186966222975
0.02	-0.236208355774
0.025	-0.0884819573748
0.03	-0.137724090175
0.035	-0.0392398245749
0.04	-0.0392398245749
0.045	-0.137724090175
0.05	-0.137724090175
0.055	-0.282372855274
0.06	-0.282372855274
0.065	-0.282372855274
0.07	-0.282372855274
0.075	-0.331614988074
0.08	-0.380857120874
0.085	-0.282372855274
0.09	-0.282372855274
0.095	-0.282372855274
0.1	-0.282372855274
0.105	-0.282372855274
0.11	-0.282372855274
0.115	-0.236208355774
0.12	-0.186966222975
0.125	-0.282372855274
0.13	-0.236208355774
0.135	-0.186966222975
0.14	-0.186966222975
0.145	-0.0884819573748
0.15	-0.137724090175
0.155	-0.282372855274
0.16	-0.282372855274
0.165	-0.0392398245749
0.17	-0.0392398245749
0.175	-0.282372855274
0.18	-0.282372855274
0.185	-0.282372855274
0.19	-0.236208355774
0.195	-0.236208355774
0.2	-0.186966222975
0.205	-0.236208355774
0.21	-0.186966222975
0.215	-0.186966222975
0.22	-0.186966222975
0.225	-0.282372855274
0.23	-0.282372855274
0.235	-0.186966222975
0.24	-0.186966222975
0.245	-0.186966222975
0.25	-0.186966222975
0.255	-0.137724090175
0.26	-0.137724090175
0.265	-0.0392398245749
0.27	-0.0392398245749
0.275	-0.0392398245749
0.28	-0.0884819573748
0.285	-0.186966222975
0.29	-0.186966222975
0.295	-0.0884819573748
0.3	-0.0884819573748
0.305	-0.0884819573748
0.31	-0.0884819573748
0.315	-0.0884819573748
0.32	-0.0884819573748
0.325	-0.0392398245749
0.33	-0.0884819573748
0.335	-0.137724090175
0.34	-0.0884819573748
0.345	-0.0884819573748
0.35	-0.0884819573748
0.355	-0.137724090175
0.36	-0.137724090175
0.365	-0.0392398245749
0.37	0.010002308225
0.375	-0.0884819573748
0.38	-0.137724090175
0.385	-0.0884819573748
0.39	-0.0884819573748
0.395	-0.282372855274
0.4	-0.282372855274
0.405	-0.282372855274
0.41	-0.282372855274
0.415	-0.282372855274
0.42	-0.282372855274
0.425	-0.186966222975
0.43	-0.186966222975
0.435	-0.186966222975
0.44	-0.186966222975
0.445	-0.282372855274
0.45	-0.282372855274
0.455	-0.380857120874
0.46	-0.380857120874
0.465	-0.282372855274
0.47	-0.282372855274
0.475	-0.282372855274
0.48	-0.236208355774
0.485	-0.186966222975
0.49	-0.186966222975
0.495	-0.282372855274
0.5	-0.282372855274
0.505	-0.282372855274
0.51	-0.282372855274
0.515	-0.137724090175
0.52	-0.0884819573748
0.525	-0.282372855274
0.53	-0.282372855274
0.535	-0.282372855274
0.54	-0.282372855274
0.545	-0.186966222975
0.55	-0.236208355774
0.555	-0.186966222975
0.56	-0.186966222975
0.565	-0.282372855274
0.57	-0.282372855274
0.575	-0.331614988074
0.58	-0.282372855274
0.585	-0.186966222975
0.59	-0.186966222975
0.595	-0.137724090175
0.6	-0.137724090175
0.605	-0.0884819573748
0.61	-0.0884819573748
0.615	-0.0884819573748
0.62	-0.0884819573748
0.625	-0.186966222975
0.63	-0.186966222975
0.635	-0.186966222975
0.64	-0.186966222975
0.645	-0.186966222975
0.65	-0.137724090175
0.655	-0.282372855274
0.66	-0.282372855274
0.665	-0.282372855274
0.67	-0.282372855274
0.675	-0.282372855274
0.68	-0.282372855274
0.685	-0.186966222975
0.69	-0.236208355774
0.695	-0.186966222975
0.7	-0.186966222975
0.705	-0.282372855274
0.71	-0.282372855274
0.715	-0.282372855274
0.72	-0.282372855274
0.725	-0.186966222975
0.73	-0.186966222975
0.735	-0.380857120874
0.74	-0.331614988074
0.745	-0.282372855274
0.75	-0.282372855274
0.755	-0.282372855274
0.76	-0.282372855274
0.765	-0.282372855274
0.77	-0.282372855274
0.775	-0.137724090175
0.78	-0.0884819573748
0.785	-0.282372855274
0.79	-0.282372855274
0.795	-0.282372855274
0.8	-0.282372855274
0.805	-0.137724090175
0.81	-0.137724090175
0.815	-0.137724090175
0.82	-0.137724090175
0.825	0.010002308225
0.83	-0.0392398245749
0.835	0.0592444410249
0.84	0.0592444410249
0.845	0.305455105024
0.85	0.305455105024
0.855	0.499346002924
0.86	0.499346002924
0.865	0.696314534123
0.87	0.647072401323
0.875	0.844040932523
0.88	0.893283065323
0.885	1.23490036162
0.89	1.23490036162
0.895	1.62575979072
0.9	1.57959529122
0.905	1.87197045472
0.91	1.87197045472
0.915	2.11818111872
0.92	2.11818111872
0.925	2.41055628222
0.93	2.41055628222
0.935	2.75525121182
0.94	2.70600907902
0.945	3.09686850812
0.95	3.04762637532
0.955	3.44156343772
0.96	3.44156343772
0.965	3.93090713242
0.97	3.88166499962
0.975	4.37100869431
0.98	4.37100869431
0.985	4.86035238901
0.99	4.90959452181
0.995	5.25428945141
1	5.30353158421
1.005	5.89135954451
1.01	5.89135954451
1.015	6.52842963761
1.02	6.57459413711
1.025	7.16549973071
1.03	7.16549973071
1.035	7.65484342541
1.04	7.70408555821
1.045	8.3411556513
1.05	8.3411556513
1.055	8.8797414788
1.06	8.8797414788
1.065	9.5168115719
1.07	9.5660537047
1.075	10.3970146957
1.08	10.3970146957
1.085	10.9356005232
1.09	10.9356005232
1.095	11.7203970147
1.1	11.7203970147
1.105	12.6529199046
1.11	12.6529199046
1.115	13.4346387628
1.12	13.4346387628
1.125	14.2194352543
1.13	14.2686773871
1.135	14.954989613
1.14	14.954989613
1.145	15.8844348696
1.15	15.7890282373
1.155	16.6199892283
1.16	16.6199892283
1.165	17.601754251
1.17	17.601754251
1.175	18.5311995076
1.18	18.5311995076
1.185	19.5622066631
1.19	19.5622066631
1.195	20.4424097869
1.2	20.4424097869
1.205	21.4703393091
1.21	21.4703393091
1.215	22.4521043318
1.22	22.4521043318
