Vernier Format 2
blank_mit_gewicht.cmbl 18.03.2025 18:22:05 .
Aktuell
Zeit	Potenzial
t	Pot
s	cm

0	-0.0392398245749
0.005	-0.0392398245749
0.01	-0.0884819573748
0.015	-0.0884819573748
0.02	-0.0884819573748
0.025	-0.137724090175
0.03	-0.0884819573748
0.035	-0.137724090175
0.04	-0.186966222975
0.045	-0.186966222975
0.05	-0.0884819573748
0.055	-0.0884819573748
0.06	-0.186966222975
0.065	-0.186966222975
0.07	-0.0392398245749
0.075	-0.0392398245749
0.08	-0.186966222975
0.085	-0.186966222975
0.09	-0.0392398245749
0.095	-0.0392398245749
0.1	-0.0884819573748
0.105	-0.0884819573748
0.11	-0.0884819573748
0.115	-0.0884819573748
0.12	-0.0884819573748
0.125	-0.137724090175
0.13	-0.0884819573748
0.135	-0.137724090175
0.14	-0.0884819573748
0.145	-0.0884819573748
0.15	-0.186966222975
0.155	-0.186966222975
0.16	-0.0884819573748
0.165	-0.137724090175
0.17	-0.0884819573748
0.175	-0.0884819573748
0.18	-0.0884819573748
0.185	-0.137724090175
0.19	-0.0392398245749
0.195	-0.0392398245749
0.2	-0.0884819573748
0.205	-0.0392398245749
0.21	-0.137724090175
0.215	-0.137724090175
0.22	-0.0884819573748
0.225	-0.0884819573748
0.23	-0.0392398245749
0.235	-0.0392398245749
0.24	-0.0392398245749
0.245	0.010002308225
0.25	0.010002308225
0.255	0.010002308225
0.26	-0.0884819573748
0.265	-0.0392398245749
0.27	-0.0392398245749
0.275	-0.0884819573748
0.28	0.010002308225
0.285	0.010002308225
0.29	-0.0392398245749
0.295	-0.0392398245749
0.3	-0.0392398245749
0.305	-0.0392398245749
0.31	-0.0392398245749
0.315	-0.0392398245749
0.32	-0.0392398245749
0.325	0.0592444410249
0.33	-0.137724090175
0.335	-0.0884819573748
0.34	-0.137724090175
0.345	-0.137724090175
0.35	0.0592444410249
0.355	0.0592444410249
0.36	-0.0884819573748
0.365	-0.0392398245749
0.37	-0.0392398245749
0.375	0.010002308225
0.38	-0.0392398245749
0.385	-0.0392398245749
0.39	-0.0392398245749
0.395	-0.0392398245749
0.4	-0.0884819573748
0.405	-0.0884819573748
0.41	-0.0884819573748
0.415	-0.0884819573748
0.42	-0.0392398245749
0.425	-0.0392398245749
0.43	-0.0392398245749
0.435	-0.0392398245749
0.44	-0.0884819573748
0.445	-0.0392398245749
0.45	-0.0884819573748
0.455	-0.137724090175
0.46	0.010002308225
0.465	-0.0392398245749
0.47	-0.0392398245749
0.475	-0.0392398245749
0.48	-0.0392398245749
0.485	-0.0884819573748
0.49	-0.0884819573748
0.495	-0.0392398245749
0.5	-0.137724090175
0.505	-0.0884819573748
0.51	-0.0884819573748
0.515	-0.137724090175
0.52	-0.0884819573748
0.525	-0.0884819573748
0.53	-0.236208355774
0.535	-0.282372855274
0.54	-0.282372855274
0.545	-0.282372855274
0.55	-0.236208355774
0.555	-0.282372855274
0.56	-0.282372855274
0.565	-0.282372855274
0.57	-0.282372855274
0.575	-0.282372855274
0.58	-0.282372855274
0.585	-0.236208355774
0.59	-0.282372855274
0.595	-0.282372855274
0.6	-0.0884819573748
0.605	-0.137724090175
0.61	-0.0884819573748
0.615	-0.0884819573748
0.62	-0.0392398245749
0.625	-0.0884819573748
0.63	-0.282372855274
0.635	-0.282372855274
0.64	-0.0392398245749
0.645	0.010002308225
0.65	-0.0392398245749
0.655	-0.0392398245749
0.66	-0.0392398245749
0.665	-0.0392398245749
0.67	0.010002308225
0.675	0.010002308225
0.68	-0.0884819573748
0.685	-0.0884819573748
0.69	-0.0392398245749
0.695	-0.0392398245749
0.7	-0.0884819573748
0.705	-0.0884819573748
0.71	0.0592444410249
0.715	0.0592444410249
0.72	-0.0392398245749
0.725	-0.0392398245749
0.73	-0.0884819573748
0.735	-0.0392398245749
0.74	-0.0884819573748
0.745	-0.137724090175
0.75	-0.0884819573748
0.755	-0.0884819573748
0.76	-0.0884819573748
0.765	-0.0392398245749
0.77	-0.186966222975
0.775	-0.186966222975
0.78	-0.236208355774
0.785	-0.186966222975
0.79	-0.137724090175
0.795	-0.0884819573748
0.8	-0.186966222975
0.805	-0.186966222975
0.81	-0.0884819573748
0.815	-0.137724090175
0.82	-0.0392398245749
0.825	-0.0392398245749
0.83	-0.0392398245749
0.835	-0.0392398245749
0.84	0.0592444410249
0.845	0.0592444410249
0.85	0.206970839424
0.855	0.206970839424
0.86	0.450103870124
0.865	0.450103870124
0.87	0.597830268524
0.875	0.597830268524
0.88	0.844040932523
0.885	0.844040932523
0.89	1.03793183042
0.895	1.03793183042
0.9	1.43186889282
0.905	1.38262676002
0.91	1.57959529122
0.915	1.62575979072
0.92	1.82272832192
0.925	1.82272832192
0.93	2.21666538432
0.935	2.21666538432
0.94	2.31207201662
0.945	2.31207201662
0.95	2.55828268062
0.955	2.60752481342
0.96	2.85065784412
0.965	2.85065784412
0.97	3.24459490652
0.975	3.29383703932
0.98	3.58621220282
0.985	3.58621220282
0.99	3.98014926522
0.995	3.98014926522
1	4.27252442871
1.005	4.22328229591
1.01	4.61721935831
1.015	4.56797722551
1.02	4.95883665461
1.025	4.95883665461
1.03	5.49742248211
1.035	5.49742248211
1.04	5.79287527891
1.045	5.79287527891
1.05	6.23297684081
1.055	6.23297684081
1.06	6.57459413711
1.065	6.57459413711
1.07	7.01777333231
1.075	7.01777333231
1.08	7.45787489421
1.085	7.50711702701
1.09	7.89797645611
1.095	7.89797645611
1.1	8.4365622836
1.105	8.4365622836
1.11	8.6335308148
1.115	8.6335308148
1.12	9.2213587751
1.125	9.2706009079
1.13	9.4675694391
1.135	9.4675694391
1.14	9.907671001
1.145	9.8584288682
1.15	10.2523659306
1.155	10.2523659306
1.16	10.6432253597
1.165	10.6432253597
1.17	11.0340847888
1.175	11.0833269216
1.18	11.5234284835
1.185	11.477263984
